车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
K4633,快速,上海,2:27,上海,当天----,2:27,重庆西,11:32
K4635,快速,成都,5:42,上海,第2日20:04,20:04,上海,20:04
K4636,快速,上海,20:28,上海,当天----,20:28,成都,4:41
K4637,快速,上海,20:28,上海,当天----,20:28,成都,4:41
K4638,快速,成都,5:42,上海,第2日20:04,20:04,上海,20:04
K464,快速,上海,11:48,上海,当天----,11:48,平顶山,5:01
K4665,快速,乌鲁木齐,16:20,上海,第3日01:31,1:31,上海,1:31
K4666,快速,上海,11:32,上海,当天----,11:32,乌鲁木齐,21:10
K4667,快速,上海,11:32,上海,当天----,11:32,乌鲁木齐,21:10
K4668,快速,乌鲁木齐,16:20,上海,第3日01:31,1:31,上海,1:31
K515,快速,吉林,9:46,上海,第2日17:33,17:33,上海,17:33
K516,快速,上海,9:16,上海,当天----,9:16,吉林,17:50
K517,快速,上海,9:16,上海,当天----,9:16,吉林,17:50
K518,快速,吉林,9:46,上海,第2日17:33,17:33,上海,17:33
K5542,快速,上海,2:40,上海,当天----,2:40,阜阳,13:38
K5562,快速,上海,22:28,上海,当天----,22:28,亳州,11:21
K5566,快速,上海,1:36,上海,当天----,1:36,阜阳,10:48
K557,快速,上海,14:48,上海,当天----,14:48,延安,15:15
K558,快速,延安,13:25,上海,第2日13:48,13:48,上海,13:48
K5586,快速,上海,5:00,上海,当天----,5:00,淮南,12:17
K559,快速,延安,13:25,上海,第2日13:48,13:48,上海,13:48
K560,快速,上海,14:48,上海,当天----,14:48,延安,15:15
K5804,快速,上海,3:13,上海,当天----,3:13,连云港东,14:44
K5828,快速,上海,6:25,上海,当天----,6:25,蚌埠,12:58
K735,快速,上海,14:04,上海,当天----,14:04,洛阳,7:06
K736,快速,洛阳,19:34,上海,第2日12:35,12:35,上海,12:35
K737,快速,洛阳,19:34,上海,第2日12:35,12:35,上海,12:35
K738,快速,上海,14:04,上海,当天----,14:04,洛阳,7:06
K781,快速,萍乡,17:00,上海,第2日11:41,11:41,上海,11:41
K782,快速,上海,13:28,上海,当天----,13:28,萍乡,10:09
K783,快速,上海,13:28,上海,当天13:28,13:28,萍乡,10:09
K784,快速,萍乡,17:00,上海,第2日11:41,11:41,上海,11:41
K8355,快速,连云港东,19:30,上海,第2日08:28,8:28,上海,8:28
K8356,快速,上海,19:47,上海,当天----,19:47,连云港东,8:09
K8357,快速,上海,19:47,上海,当天----,19:47,连云港东,7:44
K8358,快速,连云港东,19:30,上海,第2日08:28,8:28,上海,8:28
K8361,快速,阜阳,18:30,上海,第2日07:59,7:59,上海,7:59
K8362,快速,上海,23:24,上海,当天----,23:24,阜阳,11:05
K8363,快速,上海,23:24,上海,当天23:24,23:24,阜阳,11:05
K8364,快速,阜阳,18:30,上海,第2日07:59,7:59,上海,7:59
K8365,快速,阜阳,12:55,上海,当天22:36,22:36,上海,22:36
K8366,快速,上海,23:33,上海,当天----,23:33,亳州,9:55
K8375,快速,淮安,11:10,上海,当天22:28,22:28,上海,22:28
K8376,快速,上海,19:54,上海,当天----,19:54,淮安,7:42
K8427,快速,淮北,14:40,上海,当天22:53,22:53,上海,22:53
K8428,快速,上海,23:49,上海,当天----,23:49,淮北,7:50
K8431,快速,淮北,21:38,上海,第2日06:32,6:32,上海,6:32
K8432,快速,上海,23:18,上海,当天----,23:18,徐州,9:22
