车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
K21,快速,北京西,8:18,郑州,当天17:52,18:02,南宁,19:48
K2185,快速,西宁,8:40,郑州,第2日04:58,5:04,上海,18:01
K2186,快速,上海,11:03,郑州,当天00:58,1:30,西宁,21:24
K2187,快速,上海,11:03,郑州,当天00:58,1:30,西宁,21:24
K2188,快速,西宁,8:40,郑州,第2日04:58,5:04,上海,18:01
K22,快速,南宁,12:44,郑州,第2日14:03,14:17,北京西,22:48
K225,快速,兰州,21:36,郑州,第2日14:35,14:50,广州,11:58
K226,快速,广州,20:27,郑州,第2日16:36,16:44,兰州,8:46
K227,快速,广州,20:27,郑州,第2日16:36,16:44,兰州,8:46
K2275,快速,新乡,21:51,郑州,当天22:50,23:09,杭州,13:17
K2276,快速,杭州,15:44,郑州,第2日04:23,5:00,新乡,6:03
K2277,快速,杭州,15:44,郑州,第2日04:23,5:00,新乡,6:03
K2278,快速,新乡,21:51,郑州,当天22:50,23:09,杭州,13:17
K228,快速,兰州,21:36,郑州,第2日14:35,14:50,广州,11:58
K233,快速,石家庄,13:00,郑州,当天18:13,18:27,上海,9:05
K234,快速,上海,11:09,郑州,当天00:45,1:08,石家庄,6:17
K235,快速,上海,11:09,郑州,当天00:45,1:08,石家庄,6:17
K236,快速,石家庄,13:00,郑州,当天18:13,18:27,上海,9:05
K245,快速,扬州,10:30,郑州,当天23:07,23:35,成都,23:15
K246,快速,成都,21:28,郑州,第2日19:34,19:51,扬州,6:40
K257,快速,天津,16:23,郑州,第2日04:13,4:44,成都,4:50
K258,快速,成都,14:35,郑州,第2日15:22,15:47,天津,5:50
K261,快速,北京西,17:20,郑州,第2日02:01,2:23,汉中,19:28
K262,快速,汉中,12:42,郑州,第2日06:10,6:35,北京西,16:13
K2665,快速,临汾,12:05,郑州,当天00:25,0:47,苏州,13:49
K2666,快速,苏州,15:30,郑州,第2日05:22,5:45,临汾,16:23
K2667,快速,苏州,15:30,郑州,第2日05:22,5:45,临汾,16:23
K2668,快速,临汾,12:05,郑州,当天00:25,0:47,苏州,13:49
K267,快速,北京西,13:22,郑州,当天21:50,22:17,怀化,16:15
K268,快速,怀化,9:08,郑州,第2日02:11,2:36,北京西,12:00
K281,快速,成都,18:22,郑州,第2日18:58,19:20,上海,7:12
K282,快速,上海,20:14,郑州,第2日09:09,9:27,成都,9:30
K283,快速,上海,20:14,郑州,第2日09:09,9:27,成都,9:30
K284,快速,成都,18:22,郑州,第2日18:58,19:20,上海,7:12
K289,快速,成都,16:50,郑州,第2日17:28,17:50,上海,5:35
K29,快速,洛阳,13:18,郑州,当天15:08,15:30,福州,13:28
K290,快速,上海,8:51,郑州,当天21:26,21:50,成都,20:06
K2905,快速,西安,21:21,郑州,第2日04:52,5:17,温州,5:30
K2906,快速,温州,7:00,郑州,第2日02:37,3:10,西安,11:27
K2907,快速,温州,7:00,郑州,第2日02:37,3:10,西安,11:27
K2908,快速,西安,21:21,郑州,第2日04:52,5:17,温州,5:30
K291,快速,上海,8:51,郑州,当天21:26,21:50,成都,20:06
K292,快速,成都,16:50,郑州,第2日17:28,17:50,上海,5:35
K30,快速,福州,15:14,郑州,第2日15:22,15:49,洛阳,17:37
K31,快速,福州,15:14,郑州,第2日15:22,15:49,洛阳,17:37
K32,快速,洛阳,13:18,郑州,当天15:08,15:30,福州,13:28
K329,快速,天津,19:52,郑州,第2日06:50,7:19,洛阳,9:06
K330,快速,洛阳,17:00,郑州,当天18:50,19:12,天津,6:14
K332,快速,天津,19:52,郑州,第2日06:50,7:19,洛阳,9:06
K359,快速,银川,20:34,郑州,第2日17:45,17:57,上海,5:56
K360,快速,上海,9:23,郑州,当天23:00,23:08,银川,19:31
K361,快速,上海,9:23,郑州,当天23:00,23:08,银川,19:31
K362,快速,银川,20:34,郑州,第2日17:45,17:57,上海,5:56
K385,快速,沈阳北,16:18,郑州,第2日12:45,13:13,成都,8:03
K386,快速,成都,12:53,郑州,第2日08:08,8:23,沈阳北,6:05
K387,快速,成都,12:53,郑州,第2日08:08,8:23,沈阳北,6:05
K388,快速,沈阳北,16:18,郑州,第2日12:45,13:13,成都,8:03
K401,快速,北京西,18:48,郑州,第2日04:19,4:36,周口,7:46
K402,快速,周口,20:05,郑州,当天22:56,23:12,北京西,8:46
K4025,快速,上海,2:06,郑州,当天14:58,15:24,西安,23:48
K4026,快速,西安,23:57,郑州,第2日09:55,10:20,上海,0:57
K4027,快速,西安,23:57,郑州,第2日09:55,10:20,上海,0:57
K4028,快速,上海,2:06,郑州,当天14:58,15:24,西安,23:48
K4029,快速,嘉峪关,9:00,郑州,第2日11:00,11:38,上海,1:52
K4030,快速,上海,3:49,郑州,当天18:43,18:59,嘉峪关,22:59
K4031,快速,上海,3:49,郑州,当天18:43,18:59,嘉峪关,22:59
K4032,快速,嘉峪关,9:00,郑州,第2日11:00,11:38,上海,1:52
K4045,快速,新乡,11:24,郑州,当天12:25,12:51,上海,2:49
K4046,快速,上海,3:55,郑州,当天17:26,17:38,新乡,18:52
K4047,快速,上海,3:55,郑州,当天17:26,17:38,新乡,18:52
K4048,快速,新乡,11:24,郑州,当天12:25,12:51,上海,2:49
K4053,快速,郑州,12:15,郑州,当天12:15,12:15,上海,2:30
K4054,快速,上海,3:31,郑州,当天18:29,18:29,郑州,18:29
K4055,快速,上海,3:31,郑州,当天18:29,18:29,郑州,18:29
K4056,快速,郑州,12:15,郑州,当天----,12:15,上海,2:30
K4071,快速,宁波,0:25,郑州,当天18:16,18:29,新乡,20:32
K4072,快速,安阳,22:38,郑州,第2日00:51,1:13,宁波,22:43
K4073,快速,安阳,22:38,郑州,第2日00:51,1:13,宁波,22:43
K4074,快速,宁波,0:25,郑州,当天18:16,18:29,新乡,20:32
K4161,快速,郑州,22:33,郑州,当天----,22:33,杭州,16:36
K4162,快速,杭州,17:39,郑州,第2日09:03,9:03,郑州,9:03
K4163,快速,杭州,17:39,郑州,第2日09:03,9:03,郑州,9:03
K4164,快速,郑州,22:33,郑州,当天----,22:33,杭州,16:36
K4167,快速,郑州,9:55,郑州,当天09:55,9:55,上海,0:18
K4168,快速,上海,1:45,郑州,当天16:18,16:18,郑州,16:18
K4169,快速,上海,1:45,郑州,当天16:18,16:18,郑州,16:18
K4170,快速,郑州,9:55,郑州,当天----,9:55,上海,0:18
K419,快速,泰州,16:13,郑州,第2日04:16,4:35,兰州,20:23
K420,快速,兰州,8:45,郑州,第2日01:43,1:55,泰州,13:19
K4211,快速,新乡,14:37,郑州,当天15:57,16:21,广州东,14:55
K4212,快速,广州东,15:41,郑州,第2日14:39,15:03,新乡,16:19
K4237,快速,北京西,14:33,郑州,当天00:38,1:04,兰州,19:09
K4238,快速,兰州西,7:58,郑州,第2日02:20,2:42,北京西,13:20
K4361,快速,郑州,11:10,郑州,当天----,11:10,杭州,5:06
K4362,快速,杭州,6:16,郑州,当天00:30,0:30,郑州,0:30
K4363,快速,杭州,6:16,郑州,当天00:30,0:30,郑州,0:30
K4364,快速,郑州,11:10,郑州,当天----,11:10,杭州,5:06
K4426,快速,深圳,1:30,郑州,第2日02:04,2:04,郑州,2:04
K457,快速,郑州,10:50,郑州,当天----,10:50,海口,19:28
K458,快速,海口,13:56,郑州,第2日23:15,23:15,郑州,23:15
K4602,快速,汉口,6:54,郑州,当天15:48,16:11,北京西,1:28
K4604,快速,广州,1:15,郑州,当天21:00,21:30,宝鸡,8:15
K4605,快速,广州,1:15,郑州,当天21:00,21:30,宝鸡,8:15
K4606,快速,宝鸡,16:15,郑州,第2日02:44,3:15,广州,0:30
K4632,快速,上海,2:27,郑州,当天15:30,16:00,重庆西,11:32
K4633,快速,上海,2:27,郑州,当天15:30,16:00,重庆西,11:32
K4635,快速,成都,5:42,郑州,第2日03:26,3:53,上海,20:04
K4636,快速,上海,20:28,郑州,第2日10:00,10:30,成都,4:41
K4637,快速,上海,20:28,郑州,第2日10:00,10:30,成都,4:41
K4638,快速,成都,5:42,郑州,第2日03:26,3:53,上海,20:04
K4665,快速,乌鲁木齐,16:20,郑州,第3日10:12,10:38,上海,1:31
K4666,快速,上海,11:32,郑州,第2日03:36,3:55,乌鲁木齐,21:10
K4667,快速,上海,11:32,郑州,第2日03:36,3:55,乌鲁木齐,21:10
K4668,快速,乌鲁木齐,16:20,郑州,第3日10:12,10:38,上海,1:31
K4755,快速,东莞东,21:10,郑州,第2日01:29,1:56,洛阳,4:10
K4756,快速,洛阳,12:30,郑州,当天14:26,14:54,东莞东,19:57
K4758,快速,东莞东,21:10,郑州,第2日01:29,1:56,洛阳,4:10
K4779,快速,北京西,9:52,郑州,当天19:07,19:32,十堰,5:58
K4780,快速,十堰,11:15,郑州,当天22:50,23:20,北京西,8:52
K4867,快速,郑州,17:52,郑州,当天----,17:52,周口,20:38
K4868,快速,周口,14:00,郑州,当天17:00,17:00,郑州,17:00
K4869,快速,郑州,14:06,郑州,当天----,14:06,信阳,18:11
K4870,快速,信阳,19:09,郑州,当天23:02,23:30,新乡,0:42
K507,快速,北京西,7:12,郑州,当天15:27,15:43,贵阳,15:06
K508,快速,贵阳,14:47,郑州,第2日13:24,13:43,北京西,21:46
K5345,快速,商丘,11:21,郑州,当天13:56,14:21,西峡,21:36
K5346,快速,西峡,7:39,郑州,当天15:45,16:04,商丘,19:00
K5377,快速,安阳,20:00,郑州,当天23:28,23:28,郑州,23:28
K5378,快速,郑州,16:44,郑州,当天----,16:44,安阳,18:58
K557,快速,上海,14:48,郑州,第2日04:04,4:20,延安,15:15
K558,快速,延安,13:25,郑州,当天00:12,0:27,上海,13:48
K559,快速,延安,13:25,郑州,当天00:12,0:27,上海,13:48
K560,快速,上海,14:48,郑州,第2日04:04,4:20,延安,15:15
K59,快速,南通,16:55,郑州,第2日06:22,6:49,西安,13:53
K593,快速,乌鲁木齐,9:44,郑州,第3日04:26,4:48,杭州,18:47
K594,快速,杭州,12:43,郑州,第2日02:26,2:48,乌鲁木齐,18:29
K595,快速,杭州,12:43,郑州,第2日02:26,2:48,乌鲁木齐,18:29
K596,快速,乌鲁木齐,9:44,郑州,第3日04:26,4:48,杭州,18:47
K597,快速,广州,15:09,郑州,第2日11:26,11:49,包头,9:23
