车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival,train
G7356,高速,溧阳,7:05,上海虹桥,当天09:43,9:43,上海虹桥,9:43,158,583,
G7357,高速,溧阳,7:05,上海虹桥,当天09:43,9:43,上海虹桥,9:43,158,583,CR400BF3049
G7364,高速,江山,7:39,上海虹桥,当天10:36,10:36,上海虹桥,10:36,177,636,
G7366,高速,江山,18:46,上海虹桥,当天21:10,21:10,上海虹桥,21:10,144,1270,
G7368,高速,乐清,7:58,上海虹桥,当天12:00,12:00,上海虹桥,12:00,242,720,
G7369,高速,乐清,7:58,上海虹桥,当天12:00,12:00,上海虹桥,12:00,242,720,
G7382,高速,衢州,7:15,上海虹桥,当天09:53,9:53,上海虹桥,9:53,158,593,
G7392,高速,南京南,7:33,上海虹桥,当天11:01,11:01,上海虹桥,11:01,208,661,
G7393,高速,南京南,7:33,上海虹桥,当天11:01,11:01,上海虹桥,11:01,208,661,
G7396,高速,南京南,18:23,上海虹桥,当天21:24,21:24,上海虹桥,21:24,181,1284,
G7397,高速,南京南,18:23,上海虹桥,当天21:24,21:24,上海虹桥,21:24,181,1284,
G7400,高速,金华南,6:14,上海虹桥,当天08:17,8:17,上海虹桥,8:17,123,497,
G7462,高速,温州南,19:49,上海虹桥,当天23:07,23:07,上海虹桥,23:07,198,1387,
G7502,高速,宁波,7:04,上海虹桥,当天09:29,9:29,上海虹桥,9:29,145,569,
G7504,高速,温州南,6:29,上海虹桥,当天10:20,10:20,上海虹桥,10:20,231,620,
G7506,高速,温州南,7:36,上海虹桥,当天11:36,11:36,上海虹桥,11:36,240,696,
G7508,高速,台州,9:25,上海虹桥,当天12:27,12:27,上海虹桥,12:27,182,747,
G7510,高速,宁波,11:24,上海虹桥,当天13:27,13:27,上海虹桥,13:27,123,807,
G7512,高速,宁波,12:28,上海虹桥,当天14:37,14:37,上海虹桥,14:37,129,877,
G7514,高速,宁波,13:14,上海虹桥,当天15:20,15:20,上海虹桥,15:20,126,920,
G7516,高速,苍南,11:46,上海虹桥,当天16:11,16:11,上海虹桥,16:11,265,971,
G7518,高速,宁波,15:28,上海虹桥,当天17:25,17:25,上海虹桥,17:25,117,1045,
G7522,高速,宁波,17:40,上海虹桥,当天19:54,19:54,上海虹桥,19:54,134,1194,
G7524,高速,宁波,18:14,上海虹桥,当天20:17,20:17,上海虹桥,20:17,123,1217,CRH380BL3529
G7528,高速,温州南,18:38,上海虹桥,当天22:32,22:32,上海虹桥,22:32,234,1352,
G7530,高速,宁海,6:57,上海虹桥,当天09:38,9:38,上海虹桥,9:38,161,578,
G7532,高速,三门县,7:45,上海虹桥,当天10:40,10:40,上海虹桥,10:40,175,640,
G7534,高速,奉化,6:32,上海虹桥,当天08:44,8:44,上海虹桥,8:44,132,524,
G7536,高速,温州南,19:22,上海虹桥,当天23:18,23:18,上海虹桥,23:18,236,1398,
